Summary,Description,Number of developers,Number of comments,Issue key,Story point
Android: Unable to build to Android 8.0 devices or emulators,"Android 8.0 preview is out when trying to build to my device I received the error below.

h4. Steps to reproduce:
# Create the default application {{appc new}}
# Build to an android device running 8.0 {{appc run -p android -T device -l trace}}

h4. Actual

{noformat}
2017-06-27T17:02:19.391Z | ERROR  | An uncaught exception was thrown!
Cannot read property 'cyan' of undefined
2017-06-27T17:02:19.391Z | ERROR  | Cannot read property 'cyan' of undefined
2017-06-27T17:02:19.391Z | TRACE  | TypeError: Cannot read property 'cyan' of undefined
    at setDeviceId (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/android/cli/commands/_build.js:1273:61)
    at AndroidBuilder.validate (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/android/cli/commands/_build.js:1339:8)
    at Object.exports.validatePlatformOptions (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/titanium.js:672:69)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/cli/commands/build.js:278:21
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/cli/commands/build.js:458:4
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/lib/environ.js:271:4
    at ChildProcess.exithandler (child_process.js:195:7)
    at emitTwo (events.js:106:13)
    at ChildProcess.emit (events.js:191:7)
    at maybeClose (internal/child_process.js:886:16)
    at Socket.<anonymous> (internal/child_process.js:342:11)
    at emitOne (events.js:96:13)
    at Socket.emit (events.js:188:7)
    at Pipe._handle.close [as _onclose] (net.js:497:12)
---------------------------------------------
    at Object.exports.execFile (child_process.js:287:9)
    at exports.exec (child_process.js:103:18)
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/lib/environ.js:267:3
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:3694:9
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:356:16
    at replenish (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:877:25)
    at iterateeCallback (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:867:17)
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:840:16
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:3691:13
    at apply (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:21:25)
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:56:12
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/lib/environ.js:234:7
    at ChildProcess.exithandler (child_process.js:195:7)
    at emitTwo (events.js:106:13)
---------------------------------------------
    at Object.exports.execFile (child_process.js:287:9)
    at exports.exec (child_process.js:103:18)
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/lib/environ.js:227:6
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:3686:9
    at replenish (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:882:17)
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:886:9
    at eachOfLimit (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:913:22)
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:918:16
    at _parallel (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:3685:5)
    at Object.series (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:4525:3)
    at Object.getOSInfo (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/lib/environ.js:223:8)
    at Function.logger.log.init (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/cli/commands/build.js:429:11)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/cli/commands/build.js:265:15
    at CLI.callCommandValidate (/Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/lib/cli.js:720:7)
    at /Users/Josh/.appcelerator/install/6.2.2/package/node_modules/titanium/node_modules/node-appc/node_modules/async/dist/async.js:3686:9
---------------------------------------------
    at Object.run (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-appc/lib/subprocess.js:59:8)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:325:21
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3830:24
    at eachOfArrayLike (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:1003:9)
    at eachOf (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:1051:5)
    at _parallel (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3829:5)
    at Object.parallelLimit [as parallel] (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3912:5)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:309:9
    at ChildProcess.<anonymous> (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-appc/lib/subprocess.js:60:3)
    at emitTwo (events.js:106:13)
    at ChildProcess.emit (events.js:191:7)
    at maybeClose (internal/child_process.js:886:16)
    at Socket.<anonymous> (internal/child_process.js:342:11)
---------------------------------------------
    at Object.run (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-appc/lib/subprocess.js:59:8)
    at getVMInfo (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:306:18)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:447:4
    at Object.detect (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:38:41)
    at Object.isEmulator (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:445:7)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulator.js:188:13
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3830:24
    at eachOfArrayLike (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:1003:9)
    at eachOf (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:1051:5)
    at _parallel (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3829:5)
    at Object.parallelLimit [as parallel] (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3912:5)
    at EmulatorManager.isEmulator (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulator.js:182:8)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:391:12
    at conn.exec.bufferUntilClose (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:493:5)
    at Connection.<anonymous> (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:252:4)
---------------------------------------------
    at Socket.Readable.on (_stream_readable.js:687:35)
    at Connection.exec (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:249:9)
    at ADB.<anonymous> (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:492:9)
    at Connection.<anonymous> (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:172:8)
    at emitOne (events.js:96:13)
    at Socket.emit (events.js:188:7)
    at readableAddChunk (_stream_readable.js:176:18)
    at Socket.Readable.push (_stream_readable.js:134:10)
    at TCP.onread (net.js:547:20)
---------------------------------------------
    at Socket.Readable.on (_stream_readable.js:687:35)
    at Connection.exec (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:120:9)
    at ADB.shell (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:488:7)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:352:8
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3830:24
    at replenish (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:946:17)
    at iterateeCallback (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:931:17)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:906:16
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3835:13
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/adb.js:393:6
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulator.js:198:4
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3838:9
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:421:16
    at iteratorCallback (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:998:13)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:906:16
---------------------------------------------
    at Object.run (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-appc/lib/subprocess.js:59:8)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:325:21
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3830:24
    at eachOfArrayLike (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:1003:9)
    at eachOf (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:1051:5)
    at _parallel (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3829:5)
    at Object.parallelLimit [as parallel] (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3912:5)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:309:9
    at ChildProcess.<anonymous> (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-appc/lib/subprocess.js:60:3)
    at emitTwo (events.js:106:13)
    at ChildProcess.emit (events.js:191:7)
    at maybeClose (internal/child_process.js:886:16)
    at Socket.<anonymous> (internal/child_process.js:342:11)
---------------------------------------------
    at Object.run (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-appc/lib/subprocess.js:59:8)
    at getVMInfo (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:306:18)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:447:4
    at finalize (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:179:4)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:234:6
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:386:4
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3838:9
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:421:16
    at iteratorCallback (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:998:13)
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:906:16
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/node_modules/async/dist/async.js:3835:13
    at /Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-titanium-sdk/lib/emulators/genymotion.js:381:7
    at ChildProcess.<anonymous> (/Users/Josh/Library/Application Support/Titanium/mobilesdk/osx/6.1.1.v20170626160851/node_modules/node-appc/lib/subprocess.js:60:3)
    at emitTwo (events.js:106:13)
{noformat}


h4. Expected
No error is shown and the build is successful",1,12,TIMOB-24900,5
Windows: Hyperloop addEventListener doesn't work,"Use of Hyperloop {{addEventListener}} throws ""unknow exception"".

{code}
var win = Ti.UI.createWindow({ backgroundColor: 'green' }),
    Button = require('Windows.UI.Xaml.Controls.Button'),
    button = new Button();

button.Content = ""PUSH"";
button.addEventListener('Tapped', function (e) {
    alert('pushed');
});

win.add(button);
win.open();
{code}

*Expected*
Pushing ""PUSH"" button should show ""pushed"" dialog.

*Note*
After some investigation, I found that at some point of Titanium SDK update, we updated {{uglify-js}} but it looks like it contains breaking changes. Uglify-js doesn't resolve constructor ({{init}} property of {{AST_Symbol}} on its [scope analyzer|http://lisperator.net/uglifyjs/scope]. It looks like there was breaking changes there, maybe from uglify-js 2.8.x, because I saw uglify-js 2.7.x (Titanium SDK {{6.1.0.v20170315131319}}) worked fine.
",1,11,TIMOB-24595,8
Correct NSP/Retire.js errors in node-appc,"Note there is also an uglify error in jade (now pug) but that's a dev dependency, so we can ignore that.",1,2,TIMOB-24398,5
"Windows: Unable to ""new"" EasClientDeviceInformation ","Following up from initial Hyperloop PR, originally reported by [~gmathews].

Attempt to create instance from constructor for {{Windows.Security.ExchangeActiveSyncProvisioning.EasClientDeviceInformation}} fails. It ends up throwing {{null is not a constructor}} error.

{code}
    var EasClientDeviceInformation = require('Windows.Security.ExchangeActiveSyncProvisioning.EasClientDeviceInformation'),
    deviceInfo = new EasClientDeviceInformation();
    alert('SystemFirmwareVersion: ' + JSON.stringify(deviceInfo.SystemFirmwareVersion));
{code}
",1,2,TIMOB-24147,5
Hyperloop: iOS - Support use_frameworks flag in Cocoapods,"When use_frameworks! is included in Podfile, linking fails due to the framework being looked for in the wrong location.  Even if the framework is placed in the expected location, the app will crash upon execution.  Details provided below.

I discovered this issue while trying to use a swift Cocoapod, but it is easily reproduced using the Hyperloop_Sample app as well.  I will describe steps to reproduce for both cases.

1. For Hyperloop_Sample, simply add `use_frameworks!` to the beginning of Podfile and change the platform to 8.0 (frameworks only supported in iOS 8+).  Change the min-ios-ver to 8.0 in tiapp.xml as well.  As expected, instead of creating static libraries, frameworks for each pod are created instead.  These can be seen inside of `build/Release-iphonesimulator`.  The first issue comes during linking.  The framework is expected to be at `build/iphone/build/Products/Debug-iphonesimulator` as seen in the attached build log (see Sample.log), search for GLCalendarView to see the expected location of the framework on line 4466.  I then tried manually copying the 3 frameworks from `build/Release-iphonesimulator` to `build/iphone/build/Products/Debug-iphonesimulator` which allows the app to be built, but when it runs on the simulator, immediately crashes, see the attached crash log (Sample.crash).  I'm not real sure what the problem is, just that the error is ""Library not loaded"" for reason ""image not found"".

2. Next, I created a new project, enabled hyperloop, then tried to use a swift cocoapod.  Swift pods require use of `use_frameworks!`, so without this issue being resolved, we will be unable to use any swift pods.  I've attached my Podfile (see Podfile).  I tried building without referencing the pod in the Podfile, just to test, and while the app builds, it crashes as well, see (swift.crash).",1,12,TIMOB-23570,8
Hyperloop: iOS: Error when built with TiCore,"h4. Steps to reproduce
1. using the latest timob master and the latest hyperloop master. (see my env ^)
2. *appc new --classic*
3. install hyperloop module. configure tiapp.xml accordingly: 
{code}
  <modules>
    <module platform=""iphone"">hyperloop</module>
  </modules>
  <plugins>
    <plugin>hyperloop</plugin>
  </plugins>
{code}
4. write this in app.js https://gist.github.com/hansemannn/3ea14512f894bc507a5cea57336b7f77
5. *appc run -p ios*

h4. Expected Result
App builds normally and shows 2 colored squares

h4. Actual Result
red screen of death. as attached.

If you include 
{code}
  <ios>
    <use-jscore-framework>true</use-jscore-framework>
  </ios>
{code}
it will work. if you set to false, same red screen of death.",1,3,TIMOB-23446,8
Hyperloop: Android - Unable to call method accepting byte[] argument,"{code:javascript}
descriptor.setValue(BluetoothGattDescriptor.ENABLE_NOTIFICATION_VALUE);
{code}

results in: 
{code}
HyperloopProxy: (main) [3454,3454] Unable to resolve method call. Class: android.bluetooth.BluetoothGattDescriptor, method name: setValue, args: [[Ljava.lang.Object;@3f4
{code}

See http://developer.android.com/reference/android/bluetooth/BluetoothGattDescriptor.html#setValue(byte[])
",1,5,TIMOB-23267,5
Hyperloop: Android doesn't convert char/char[]/Character,"We have no conversion of char/char[]/Character in our Kroll/V8 bridge - and we don't handle this special in our hyperloop code - so I assume right now it'll try to wrap in a hyperloop proxy and fail miserably.

From discussion on https://github.com/appcelerator/hyperloop.next/pull/16


Ideally I think we should:
- accept a JS String for any argument/field that accepts Character/char/char[]
- if the string is for a single char/Character and has more than one character, we should take the first char of the string and spit out a nasty warning in the log.
- When a method/field returns a char/char[]/Character, convert it into a Java String and the bridge will convert that to a JS string for us.",1,1,TIMOB-23213,5
Hyperloop: Android can't access fields with primitive array types,"When trying to instantiate BluetoothGattDescriptior 


{code:java}
var BGD = new BluetoothGattDescriptor();
{code}




the following error log appears : 
{code:java}
[WARN] :   W/System.err: java.lang.NoSuchMethodException: <init> []
[WARN] :   W/System.err: 	at java.lang.Class.getConstructor(Class.java:531)
[WARN] :   W/System.err: 	at java.lang.Class.getConstructor(Class.java:495)
[WARN] :   W/System.err: 	at hyperloop.HyperloopUtil.resolveConstructor(HyperloopUtil.java:297)
[WARN] :   W/System.err: 	at hyperloop.ClassProxy.newInstance(ClassProxy.java:80)
[WARN] :   W/System.err: 	at org.appcelerator.kroll.runtime.v8.V8Function.nativeInvoke(Native Method)
[WARN] :   W/System.err: 	at org.appcelerator.kroll.runtime.v8.V8Function.callSync(V8Function.java:57)
[WARN] :   W/System.err: 	at org.appcelerator.kroll.runtime.v8.V8Function.handleMessage(V8Function.java:82)
[WARN] :   W/System.err: 	at android.os.Handler.dispatchMessage(Handler.java:98)
[WARN] :   W/System.err: 	at android.os.Looper.loop(Looper.java:145)
[WARN] :   W/System.err: 	at android.app.ActivityThread.main(ActivityThread.java:5951)
[WARN] :   W/System.err: 	at java.lang.reflect.Method.invoke(Native Method)
[WARN] :   W/System.err: 	at java.lang.reflect.Method.invoke(Method.java:372)
[WARN] :   W/System.err: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1400)
[WARN] :   W/System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1195)
[WARN] :   W/System.err: java.lang.ArrayIndexOutOfBoundsException: length=0; index=0
[WARN] :   W/System.err: 	at hyperloop.HyperloopUtil.convert(HyperloopUtil.java:166)
[WARN] :   W/System.err: 	at hyperloop.ClassProxy.newInstance(ClassProxy.java:89)
[WARN] :   W/System.err: 	at org.appcelerator.kroll.runtime.v8.V8Function.nativeInvoke(Native Method)
[WARN] :   W/System.err: 	at org.appcelerator.kroll.runtime.v8.V8Function.callSync(V8Function.java:57)
[WARN] :   W/System.err: 	at org.appcelerator.kroll.runtime.v8.V8Function.handleMessage(V8Function.java:82)
[WARN] :   W/System.err: 	at android.os.Handler.dispatchMessage(Handler.java:98)
[WARN] :   W/System.err: 	at android.os.Looper.loop(Looper.java:145)
[WARN] :   W/System.err: 	at android.app.ActivityThread.main(ActivityThread.java:5951)
[WARN] :   W/System.err: 	at java.lang.reflect.Method.invoke(Native Method)
[WARN] :   W/System.err: 	at java.lang.reflect.Method.invoke(Method.java:372)
[WARN] :   W/System.err: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1400)
[WARN] :   W/System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1195)
[ERROR] :  TiExceptionHandler: (main) [15625,21062] ----- Titanium Javascript Runtime Error -----
[ERROR] :  TiExceptionHandler: (main) [1,21063] - In hyperloop/android.bluetooth.BluetoothGattDescriptor.js:1,69
[ERROR] :  TiExceptionHandler: (main) [1,21064] - Message: Uncaught Error: length=0; index=0
[ERROR] :  TiExceptionHandler: (main) [1,21065] - Source: ame?arguments[0]:android.bluetooth.BluetoothGattDescriptor[""class""].newInstanc
[ERROR] :  V8Exception: Exception occurred at hyperloop/android.bluetooth.BluetoothGattDescriptor.js:1: Uncaught Error: length=0; index=0

{code}

Other issue is related with BluetoothGattCharacteristic, when trying to access it's methods, instantiate or cast the following error shows up:


{code:java}
[ERROR] :  TiExceptionHandler: (main) [12908,12908] ----- Titanium Javascript Runtime Error -----
[ERROR] :  TiExceptionHandler: (main) [1,12909] - In ti:/module.js:280,9
[ERROR] :  TiExceptionHandler: (main) [0,12909] - Message: Uncaught Error: Requested module not found: [B
[ERROR] :  TiExceptionHandler: (main) [1,12910] - Source: 		throw new Error(""Requested module not found: "" + request);
[ERROR] :  V8Exception: Exception occurred at ti:/module.js:280: Uncaught Error: Requested module not found: [B

{code}





",1,13,TIMOB-23198,5
Hyperloop: Android - Java primitives arrays are wrapped in hyperloop proxies improperly,"This fails:
{code:javascript}
var Build = require('android.os.Build');
Build.SUPPORTED_ABIS[0];
{code}

The error reported says something about being unable to require a model, with a name of something like L[String@ergsdgf;

Basically, it looks like we're wrapping this primitive String array in a hyperloop proxy, rather than just letting the bridge handle the conversion for us.

Right now our code to determine when to wrap isn't specific enough to allow this to pass through:
{code:java}
return item == null || item instanceof KrollProxy || item instanceof Integer
                || item instanceof Double || item instanceof Float
                || item instanceof Byte || item instanceof Short
                || item instanceof Long || item instanceof HashMap
                || item instanceof String || item instanceof Boolean || item instanceof Date;
{code}",1,1,TIMOB-23179,5
