Summary,Description,Number of developers,Number of comments,Issue key,Story point
Improve framework rate limiting by imposing the max number of outstanding messages per framework principal,"* Rate limits config takes a configurable *capacity* for each principal.
* To ensure that Master maintain the message order of a framework it's important that Master sends an FrameworkErrorMessage back to the scheduler to ask it to abort.",1,4,MESOS-1578,5.0
Race between executor exited event and launch task can cause overcommit of resources,"The following sequence of events can cause an overcommit

--> Launch task is called for a task whose executor is already running

--> Executor's resources are not accounted for on the master

--> Executor exits and the event is enqueued behind launch tasks on the master

--> Master sends the task to the slave which needs to commit for resources for task and the (new) executor.

--> Master processes the executor exited event and re-offers the executor's resources causing an overcommit of resources.",1,4,MESOS-1466,8.0
SlaveRecoveryTest/0.MultipleFrameworks is flaky,"--gtest_repeat=-1 --gtest_shuffle --gtest_break_on_failure

{noformat}
[ RUN      ] SlaveRecoveryTest/0.MultipleFrameworks
WARNING: Logging before InitGoogleLogging() is written to STDERR
I0513 15:42:05.931761  4320 exec.cpp:131] Version: 0.19.0
I0513 15:42:05.936698  4340 exec.cpp:205] Executor registered on slave 20140513-154204-16842879-51872-13062-0
Registered executor on artoo
Starting task 51991f97-f5fd-4905-ad0f-02668083af7c
Forked command at 4367
sh -c 'sleep 1000'
WARNING: Logging before InitGoogleLogging() is written to STDERR
I0513 15:42:06.915061  4408 exec.cpp:131] Version: 0.19.0
I0513 15:42:06.931149  4435 exec.cpp:205] Executor registered on slave 20140513-154204-16842879-51872-13062-0
Registered executor on artoo
Starting task eaf5d8d6-3a6c-4ee1-84c1-fae20fb1df83
sh -c 'sleep 1000'
Forked command at 4439
I0513 15:42:06.998332  4340 exec.cpp:251] Received reconnect request from slave 20140513-154204-16842879-51872-13062-0
I0513 15:42:06.998414  4436 exec.cpp:251] Received reconnect request from slave 20140513-154204-16842879-51872-13062-0
I0513 15:42:07.006350  4437 exec.cpp:228] Executor re-registered on slave 20140513-154204-16842879-51872-13062-0
Re-registered executor on artoo
I0513 15:42:07.027039  4337 exec.cpp:378] Executor asked to shutdown
Shutting down
Sending SIGTERM to process tree at pid 4367
Killing the following process trees:
[ 
-+- 4367 sh -c sleep 1000 
 \--- 4368 sleep 1000 
]
../../src/tests/slave_recovery_tests.cpp:2807: Failure
Value of: status1.get().state()
  Actual: TASK_FAILED
Expected: TASK_KILLED

Program received signal SIGSEGV, Segmentation fault.
testing::UnitTest::AddTestPartResult (this=0x154dac0 <testing::UnitTest::GetInstance()::instance>, result_type=testing::TestPartResult::kFatalFailure, file_name=0xeb6b6c ""../../src/tests/slave_recovery_tests.cpp"", line_number=2807, message=..., os_stack_trace=...) at gmock-1.6.0/gtest/src/gtest.cc:3795
3795          *static_cast<volatile int*>(NULL) = 1;
(gdb) bt
#0  testing::UnitTest::AddTestPartResult (this=0x154dac0 <testing::UnitTest::GetInstance()::instance>, result_type=testing::TestPartResult::kFatalFailure, file_name=0xeb6b6c ""../../src/tests/slave_recovery_tests.cpp"", line_number=2807, message=..., os_stack_trace=...) at gmock-1.6.0/gtest/src/gtest.cc:3795
#1  0x0000000000df98b9 in testing::internal::AssertHelper::operator= (this=0x7fffffffb860, message=...) at gmock-1.6.0/gtest/src/gtest.cc:356
#2  0x0000000000cdfa57 in SlaveRecoveryTest_MultipleFrameworks_Test<mesos::internal::slave::MesosContainerizer>::TestBody (this=0x1954db0) at ../../src/tests/slave_recovery_tests.cpp:2807
#3  0x0000000000e22583 in testing::internal::HandleSehExceptionsInMethodIfSupported<testing::Test, void> (object=0x1954db0, method=&virtual testing::Test::TestBody(), location=0xed0af0 ""the test body"") at gmock-1.6.0/gtest/src/gtest.cc:2090
#4  0x0000000000e12467 in testing::internal::HandleExceptionsInMethodIfSupported<testing::Test, void> (object=0x1954db0, method=&virtual testing::Test::TestBody(), location=0xed0af0 ""the test body"") at gmock-1.6.0/gtest/src/gtest.cc:2126
#5  0x0000000000e010d5 in testing::Test::Run (this=0x1954db0) at gmock-1.6.0/gtest/src/gtest.cc:2161
#6  0x0000000000e01ceb in testing::TestInfo::Run (this=0x158cf80) at gmock-1.6.0/gtest/src/gtest.cc:2338
#7  0x0000000000e02387 in testing::TestCase::Run (this=0x158a880) at gmock-1.6.0/gtest/src/gtest.cc:2445
#8  0x0000000000e079ed in testing::internal::UnitTestImpl::RunAllTests (this=0x1558b40) at gmock-1.6.0/gtest/src/gtest.cc:4237
#9  0x0000000000e1ec83 in testing::internal::HandleSehExceptionsInMethodIfSupported<testing::internal::UnitTestImpl, bool> (object=0x1558b40, method=(bool (testing::internal::UnitTestImpl::*)(testing::internal::UnitTestImpl * const)) 0xe07700 <testing::internal::UnitTestImpl::RunAllTests()>, 
    location=0xed1219 ""auxiliary test code (environments or event listeners)"") at gmock-1.6.0/gtest/src/gtest.cc:2090
#10 0x0000000000e14217 in testing::internal::HandleExceptionsInMethodIfSupported<testing::internal::UnitTestImpl, bool> (object=0x1558b40, method=(bool (testing::internal::UnitTestImpl::*)(testing::internal::UnitTestImpl * const)) 0xe07700 <testing::internal::UnitTestImpl::RunAllTests()>, 
    location=0xed1219 ""auxiliary test code (environments or event listeners)"") at gmock-1.6.0/gtest/src/gtest.cc:2126
#11 0x0000000000e076d7 in testing::UnitTest::Run (this=0x154dac0 <testing::UnitTest::GetInstance()::instance>) at gmock-1.6.0/gtest/src/gtest.cc:3872
#12 0x0000000000b99887 in main (argc=1, argv=0x7fffffffd9f8) at ../../src/tests/main.cpp:107
(gdb) frame 2
#2  0x0000000000cdfa57 in SlaveRecoveryTest_MultipleFrameworks_Test<mesos::internal::slave::MesosContainerizer>::TestBody (this=0x1954db0) at ../../src/tests/slave_recovery_tests.cpp:2807
2807      ASSERT_EQ(TASK_KILLED, status1.get().state());
(gdb) p status1
$1 = {data = {<std::__shared_ptr<process::Future<mesos::TaskStatus>::Data, 2>> = {_M_ptr = 0x1963140, _M_refcount = {_M_pi = 0x198a620}}, <No data fields>}}
(gdb) p status1.get()
$2 = (const mesos::TaskStatus &) @0x7fffdc5bf5f0: {<google::protobuf::Message> = {<google::protobuf::MessageLite> = {_vptr$MessageLite = 0x7ffff74bc940 <vtable for mesos::TaskStatus+16>}, <No data fields>}, static kTaskIdFieldNumber = 1, static kStateFieldNumber = 2, static kMessageFieldNumber = 4, 
  static kDataFieldNumber = 3, static kSlaveIdFieldNumber = 5, static kTimestampFieldNumber = 6, _unknown_fields_ = {fields_ = 0x0}, task_id_ = 0x7fffdc5ce9a0, message_ = 0x7fffdc5f5880, data_ = 0x154b4b0 <google::protobuf::internal::kEmptyString>, slave_id_ = 0x7fffdc59c4f0, timestamp_ = 1429688582.046252, 
  state_ = 3, _cached_size_ = 0, _has_bits_ = {55}, static default_instance_ = 0x0}
(gdb) p status1.get().state()
$3 = mesos::TASK_FAILED
(gdb) list
2802      // Kill task 1.
2803      driver1.killTask(task1.task_id());
2804
2805      // Wait for TASK_KILLED update.
2806      AWAIT_READY(status1);
2807      ASSERT_EQ(TASK_KILLED, status1.get().state());
2808
2809      // Kill task 2.
2810      driver2.killTask(task2.task_id());
2811
{noformat}",1,6,MESOS-1365,1.0
systemd.slice + cgroup enablement fails in multiple ways. ,"When attempting to configure mesos to use systemd slices on a 'rawhide/f21' machine, it fails creating the isolator: 

I0407 12:39:28.035354 14916 containerizer.cpp:180] Using isolation: cgroups/cpu,cgroups/mem
Failed to create a containerizer: Could not create isolator cgroups/cpu: Failed to create isolator: The cpu subsystem is co-mounted at /sys/fs/cgroup/cpu with other subsytems

------ details ------
/sys/fs/cgroup
total 0
drwxr-xr-x. 12 root root 280 Mar 18 08:47 .
drwxr-xr-x.  6 root root   0 Mar 18 08:47 ..
drwxr-xr-x.  2 root root   0 Mar 18 08:47 blkio
lrwxrwxrwx.  1 root root  11 Mar 18 08:47 cpu -> cpu,cpuacct
lrwxrwxrwx.  1 root root  11 Mar 18 08:47 cpuacct -> cpu,cpuacct
drwxr-xr-x.  2 root root   0 Mar 18 08:47 cpu,cpuacct
drwxr-xr-x.  2 root root   0 Mar 18 08:47 cpuset
drwxr-xr-x.  2 root root   0 Mar 18 08:47 devices
drwxr-xr-x.  2 root root   0 Mar 18 08:47 freezer
drwxr-xr-x.  2 root root   0 Mar 18 08:47 hugetlb
drwxr-xr-x.  3 root root   0 Apr  3 11:26 memory
drwxr-xr-x.  2 root root   0 Mar 18 08:47 net_cls
drwxr-xr-x.  2 root root   0 Mar 18 08:47 perf_event
drwxr-xr-x.  4 root root   0 Mar 18 08:47 systemd
",1,19,MESOS-1195,3.0
Allocator should make an allocation decision per slave instead of per framework/role.,"Currently the Allocator::allocate() code loops through roles and frameworks (based on DRF sort) and allocates *all* slaves resources to the first framework.

This logic should be a bit inversed. Instead, the slave should go through each slave, allocate it a role/framework and update the DRF shares.",1,4,MESOS-1119,2.0
Update semantics of when framework registered()/reregistered() get called,"Current semantics:

1) Framework connects w/ master very first time --> registered()
2) Framework reconnects w/ same master after a zk blip --> reregistered()
3) Framework reconnects w/ failed over master --> registered()
4) Failed over framework connects w/ same master --> registered()
5) Failed over framework connects w/ failed over master --> registered() 

Updated semantics:

Everything same except 
3) Framework reconnects w/ failed over master --> reregistered()",1,6,MESOS-786,3.0
[Front-end]: Minor issues connected with localization,"*1.*

*Preconditions:*
 1. Billing is available on DataLab Web UI

*Steps to reproduce:*
 1. Go to 'List of Resources' page

*Actual result:*
 1. Billing on the 'List of Resources' page is not localized

*Expected result:*
 1. Billing on the 'List of Resources' page is localized
----
*2.* Convert date period according to selected language for 'Billing report' page
----
*3. (-)* Convey language key to back-end for billing export (will do it in branch with back-end fix) - it will be done in task 2089.",1,2,DATALAB-2087,4.0
[Environment management page]: Drop down list values is broken,"*Preconditions:*

1. User is located on 'Environment management' page

*Steps to reproduce:*
 # Expand the filter header
 # Click 'Project'/'Endpoint' drop down list

*Actual result:*
 # Values of dropdown list is broken
 # A part of dropdown list name is visible in the right side

*Expected:*
 # Values of dropdown list is not broken
 # A part of dropdown list name is not visible in the right side
 ",1,1,DATALAB-2073,8.0
Libraries are not installed due to permission absence to the directory,"*Preconditions:*
 # DLab is deployed on K8S
 # Notebook is created

*Steps to reproduce:*
 # Go to 'resources_list' page
 # Click action menu for notebook
 # Choose 'manage libraries'
 # Choose available resource in 'Select resource' drop down list
 # Select apt/Yum/Python/Others groups
 # Choose available libraries
 # Click installed

*Actual result:*
 # Docker runs with '0'
 # Libraries installation failed

*Expected result:*
 # Docker runs with '0'
 # Libraries installation is successful

For java and r package groups I could not check because there were issues not from our side.",1,0,DATALAB-1250,4.0
Provisioning service have no access to response files,"*Preconditions:*
1. Notebook is created 

*Steps to reproduce:*
1. Go to 'resources_list' page
2. Click action menu for notebook
3. Choose 'Manage libraries'
4. Choose available resource in 'Select resource' drop down list

*Actual result:*
1. Available lib list getting is stuck on UI
2. User is not able to install library

*Expected result:*
1. User is able to install library


Could not find file because it finds from dlab-user, but this json is available for root.
",1,0,DATALAB-1240,8.0
[Scheduler]: 'Default timezone_offset' is rewritten if switching scheduler types for notebook,"*Preconditions:*

1. Notebook is created (in 'running' or 'stopped' statuses)

*Steps to reproduce:*
 # Turn on scheduler by inactivity for notebook
 # Click 'Save' button
 # Turn on scheduler by time

*Actual result:*

1. Value 'Select offset' is absent ('Z' in F12)

*Expected result:*

1. Value 'Select offset' is default value of your browser",1,3,DATALAB-1101,8.0
[Terraform]: It is impossible to do any git actions via ungit,"*Preconditions:*
 # User is located on ungit page
 # Git account is created in DLab

*Steps to reproduce:*
 # Put in </home/dlab-user> in ungit search
 # Paste https path to git repository in ungit
 # Click 'clone' button

*Actual result:*
 # For every git actions username and password are required in ungit
 # required credentials are so frequent, that it is impossible to do git actions 

*Expected result:*
 # Git action is done without credential requiring in ungit

Previously git credentials were stored in notebook in <.netrc>, but now this file is absent now",1,0,DATALAB-1041,8.0
PreemptorService failure does not trigger shutdown,"While observing AURORA-1510 in production I noticed the bug caused the {{PreemptorService}} to transition to the FAILED state. The {{/services}} endpoint had:
{noformat}
{
name: ""PreemptorService"",
state: ""FAILED"",
failureCause: ""java.util.ConcurrentModificationException""
},
{noformat}

However the scheduler continued to run. I believe this is a bug.",1,4,AURORA-1511,2.0
In-progress instances on Update page continue to pulse after update is aborted,"When an update is aborted, any instances that were in progress still have the css class of {{instance-updating}} and as such, continue to pulse.",1,1,AURORA-1445,3.0
Remove duplicate thermos_observer,"There are currently two thermos_observer python_binaries in the codebase, one in src/main/python/apache/aurora/tools/BUILD and the other in ./src/main/python/apache/thermos/observer/bin/BUILD. This is confusing.

Let's get rid of one of them, I think the latter is the one that's not meant to be used.",0,8,AURORA-1381,2.0
Referential integrity violation when replaying storage,"At startup in the Vagrant environment I observed:

{noformat}
E0630 20:45:54.427 THREAD1 org.apache.aurora.scheduler.SchedulerLifecycle$9.execute: Caught unchecked exception: org.apache.aurora.scheduler.storage.Storage$StorageExce
ption: 
### Error updating database.  Cause: org.h2.jdbc.JdbcSQLException: Referential integrity constraint violation: ""CONSTRAINT_4BE: PUBLIC.TASKS FOREIGN KEY(SLAVE_ROW_ID) R
EFERENCES PUBLIC.HOST_ATTRIBUTES(ID) (1)""; SQL statement:
DELETE FROM host_attributes
    WHERE host = ? [23503-187]
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: DELETE FROM host_attributes     WHERE host = ?
### Cause: org.h2.jdbc.JdbcSQLException: Referential integrity constraint violation: ""CONSTRAINT_4BE: PUBLIC.TASKS FOREIGN KEY(SLAVE_ROW_ID) REFERENCES PUBLIC.HOST_ATTR
IBUTES(ID) (1)""; SQL statement:
DELETE FROM host_attributes
    WHERE host = ? [23503-187]
org.apache.aurora.scheduler.storage.Storage$StorageException: 
### Error updating database.  Cause: org.h2.jdbc.JdbcSQLException: Referential integrity constraint violation: ""CONSTRAINT_4BE: PUBLIC.TASKS FOREIGN KEY(SLAVE_ROW_ID) R
EFERENCES PUBLIC.HOST_ATTRIBUTES(ID) (1)""; SQL statement:
DELETE FROM host_attributes
    WHERE host = ? [23503-187]
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: DELETE FROM host_attributes     WHERE host = ?
### Cause: org.h2.jdbc.JdbcSQLException: Referential integrity constraint violation: ""CONSTRAINT_4BE: PUBLIC.TASKS FOREIGN KEY(SLAVE_ROW_ID) REFERENCES PUBLIC.HOST_ATTR
IBUTES(ID) (1)""; SQL statement:
DELETE FROM host_attributes
    WHERE host = ? [23503-187]
        at org.apache.aurora.scheduler.storage.db.DbStorage.write(DbStorage.java:144)
        at org.mybatis.guice.transactional.TransactionalMethodInterceptor.invoke(TransactionalMethodInterceptor.java:101)
        at com.twitter.common.inject.TimedInterceptor.invoke(TimedInterceptor.java:87)
        at org.apache.aurora.scheduler.storage.log.LogStorage.write(LogStorage.java:632)
        at org.apache.aurora.scheduler.storage.log.LogStorage$3.execute(LogStorage.java:316)
        at org.apache.aurora.scheduler.storage.log.LogStorage$3.execute(LogStorage.java:313)
        at org.apache.aurora.scheduler.storage.log.LogStorage.replay(LogStorage.java:525)
        at org.apache.aurora.scheduler.storage.log.LogStorage.access$1200(LogStorage.java:116)
        at org.apache.aurora.scheduler.storage.log.LogStorage$21$1.execute(LogStorage.java:503)
        at org.apache.aurora.scheduler.storage.log.LogStorage$21$1.execute(LogStorage.java:500)
        at org.apache.aurora.scheduler.storage.log.StreamManagerImpl.readFromBeginning(StreamManagerImpl.java:127)
        at org.apache.aurora.scheduler.storage.log.LogStorage$21.execute(LogStorage.java:500)
        at org.apache.aurora.scheduler.storage.Storage$MutateWork$NoResult.apply(Storage.java:131)
        at org.apache.aurora.scheduler.storage.db.DbStorage.bulkLoad(DbStorage.java:165)
        at com.twitter.common.inject.TimedInterceptor.invoke(TimedInterceptor.java:87)
        at org.apache.aurora.scheduler.storage.log.LogStorage.recover(LogStorage.java:496)
        at com.twitter.common.inject.TimedInterceptor.invoke(TimedInterceptor.java:87)
        at org.apache.aurora.scheduler.storage.log.LogStorage$20.execute(LogStorage.java:477)
        at org.apache.aurora.scheduler.storage.Storage$MutateWork$NoResult.apply(Storage.java:131)
        at org.apache.aurora.scheduler.storage.Storage$MutateWork$NoResult$Quiet.apply(Storage.java:148)
        at org.apache.aurora.scheduler.storage.db.DbStorage.write(DbStorage.java:142)
        at org.mybatis.guice.transactional.TransactionalMethodInterceptor.invoke(TransactionalMethodInterceptor.java:101)
        at com.twitter.common.inject.TimedInterceptor.invoke(TimedInterceptor.java:87)
        at org.apache.aurora.scheduler.storage.log.LogStorage.write(LogStorage.java:632)
        at org.apache.aurora.scheduler.storage.log.LogStorage.start(LogStorage.java:471)
        at org.apache.aurora.scheduler.storage.CallOrderEnforcingStorage.start(CallOrderEnforcingStorage.java:92)
        at org.apache.aurora.scheduler.SchedulerLifecycle$6.execute(SchedulerLifecycle.java:252)
{noformat}",1,1,AURORA-1379,2.0
Update status page for large jobs is killed by Chrome,"When I say ""killed by Chrome"" I mean if left open long enough the page turns into the Chrome ""Aw Snap"" page.

This is presumably due to the continued addition of instance events to the page causing it to OOM and Chrome to kill it. One suggestion made to me by those more familiar with Angular was to add {{track by}} to the {{ng-repeat}} used to build the DOM for the instance events.",1,1,AURORA-1345,5.0
auth_module is not installed in child injector,"The recent patch to enable HTTP Basic Authentication moved construction of ThriftAuthModule to the Jetty child injector, but the user-supplied module was still installed in the parent injector. This leads to a stack trace for anyone using their own {{auth_module}}:

{noformat}
INFO: Connecting to master using authentication (principal: TwitterScheduler).
Exception in thread ""main"" com.google.inject.CreationException: Guice creation errors:

1) No implementation for java.util.Map<org.apache.aurora.auth.CapabilityValidator$Capability, java.lang.String> was bound.
  while locating java.util.Map<org.apache.aurora.auth.CapabilityValidator$Capability, java.lang.String>
    for parameter 1 at com.twitter.aurora.internal.auth.TwitterCapabilityValidator.<init>(TwitterCapabilityValidator.java:28)
  at com.twitter.aurora.internal.auth.TwitterAuthModule.configure(TwitterAuthModule.java:97)

2) No implementation for java.util.Map<org.apache.aurora.auth.CapabilityValidator$Capability, java.lang.String> was bound.
  at com.twitter.aurora.internal.auth.TwitterAuthModule.configure(TwitterAuthModule.java:94)

2 errors
        at com.google.inject.internal.Errors.throwCreationExceptionIfErrorsExist(Errors.java:435)
        at com.google.inject.internal.InternalInjectorCreator.initializeStatically(InternalInjectorCreator.java:154)
        at com.google.inject.internal.InternalInjectorCreator.build(InternalInjectorCreator.java:106)
        at com.google.inject.Guice.createInjector(Guice.java:95)
        at com.google.inject.Guice.createInjector(Guice.java:83)
        at com.twitter.common.application.AppLauncher.configureInjection(AppLauncher.java:120)
        at com.twitter.common.application.AppLauncher.run(AppLauncher.java:87)
        at com.twitter.common.application.AppLauncher.launch(AppLauncher.java:181)
        at com.twitter.common.application.AppLauncher.launch(AppLauncher.java:142)
        at org.apache.aurora.scheduler.app.SchedulerMain.main(SchedulerMain.java:279)
{noformat}",1,1,AURORA-1201,2.0
The scheduler synchronously writes a backup while writing a snapshot to the replicated log,"In the course of writing a snapshot to the replicated log, the scheduler may block while writing a snapshot to the disk.  There is no need for this activity to be done synchronously, and doing so causes the write lock to be unnecessarily held for an additional period of time.

From StorageBackup.java:
{code}
    @Override
    public Snapshot createSnapshot() {
      Snapshot snapshot = delegate.createSnapshot();
      if (clock.nowMillis() >= (lastBackupMs + backupIntervalMs)) {
        save(snapshot);
      }
      return snapshot;
    }
{code}

{{StorageBackup}} happens to be the unqualified binding to {{SnapshotStore<Snapshot>}} that is used in {{LogStorage}}.",1,2,AURORA-1108,3.0
"Remove the ""enable_legacy_constraints"" flag.","As a part of AURORA-184 we added a flag called ""enable_legacy_constraints"" which enables behaviour that injects a host and rack limit into every job.

We should deprecate and remove this flag in some future release.",1,2,AURORA-1074,2.0
