Bug text root form,issue key,Story point
"doubl free corrupt use parallel test runner i observ follow use parallel test runner : { noformat } /home/bmahler/git/mesos/build/ .. /support/mesos-gtest-runner.pi -- sequential= * root_ * ./mesos-test .. * * * error ` /home/bmahler/git/mesos/build/src/.libs/mesos-test ' : doubl free corrupt ( ) : 0x00007fa818001310 * * * ======= backtrac : ========= /usr/lib64/libc.so.6 ( +0x7c503 ) [ 0x7fa87f27e503 ] /usr/lib64/libsasl2.so.3 ( +0x866d ) [ 0x7fa880f0d66d ] /usr/lib64/libsasl2.so.3 ( sasl_dispose+0x3b ) [ 0x7fa880f1075b ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zn5mesos8internal8cram_md527crammd5authenticateeprocessd1ev+0x5d ) [ 0x7fa88708f67d ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zn5mesos8internal8cram_md527crammd5authenticateeprocessd0ev+0x18 ) [ 0x7fa88708f734 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zn5mesos8internal8cram_md520crammd5authenticateed1ev+0xfb ) [ 0x7fa88708a065 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zn5mesos8internal8cram_md520crammd5authenticateed0ev+0x18 ) [ 0x7fa88708a0b4 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zn5mesos8internal5slave5slave13_authenticateev+0x67 ) [ 0x7fa8879ff579 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zzn7process8dispatchin5mesos8internal5slave5slaveeeevrkns_3pidit_eems6_fvveenkulpns_11processbaseee_clesd_+0xe2 ) [ 0x7fa887a60b7a ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _znst17_function_handlerifvpn7process11processbaseeezns0_8dispatchin5mesos8internal5slave5slaveeeevrkns0_3pidit_eemsa_fvveeuls2_e_e9_m_invokeerkst9_any_datas2_+0x37 ) [ 0x7fa887aa0ef ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _znkst8functionifvpn7process11processbaseeeecles2_+0x49 ) [ 0x7fa8888d1177 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zn7process11processbase5visiterkns_13dispatchevente+0x2f ) [ 0x7fa8888b5063 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _znk7process13dispatchevent5visitepns_12eventvisitore+0x2 ) [ 0x7fa8888c0422 ] /home/bmahler/git/mesos/build/src/.libs/mesos-test ( _zn7process11processbase5serveerkns_5evente+0x2 ) [ 0xb088c8 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( _zn7process14processmanager6resumeepns_11processbasee+0x525 ) [ 0x7fa8888b10d5 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( +0x5f1a880 ) [ 0x7fa8888ad880 ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( +0x5f2ca8a ) [ 0x7fa8888bfa8a ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( +0x5f2c9ce ) [ 0x7fa8888bf9c ] /home/bmahler/git/mesos/build/src/.libs/libmesos-1.3.0.so ( +0x5f2c958 ) [ 0x7fa8888bf958 ] /usr/lib64/libstdc++.so.6 ( +0xb5230 ) [ 0x7fa87fb90230 ] /usr/lib64/libpthread.so.0 ( +0x7dc5 ) [ 0x7fa88040ddc5 ] /usr/lib64/libc.so.6 ( clone+0x6d ) [ 0x7fa87f2f973d ] { noformat } not sure reproduc , appear occur authent path agent .",MESOS-7438,2.0
"registri puller fetch manifest googl gcr : 403 forbidden . when registri puller pull repositori googl 's gce contain registri , '403 forbidden ' error occur instead 401 fetch manifest .",MESOS-7431,5.0
"run docker imag meso contain runtim without ` linux/filesystem ` isol enabl render host unus if i run pod ( use marathon 1.4.2 ) meso agent flag ( also ) , overlay filesystem replac system root mount , effect render host unus reboot . flag : - { { -- container meso , docker } } - { { -- image_provid appc , docker } } - { { -- isol cgroups/cpu , cgroups/mem , docker/runtim } } pod definit marathon : { code : java } { `` id '' : `` /simplepod '' , `` scale '' : { `` kind '' : `` fix '' , `` instanc '' : 1 } , `` contain '' : [ { `` name '' : `` sleep1 '' , `` exec '' : { `` command '' : { `` shell '' : `` sleep 1000 '' } } , `` resourc '' : { `` cpu '' : 0.1 , `` mem '' : 32 } , `` imag '' : { `` id '' : `` alpin '' , `` kind '' : `` docker '' } } ] , `` network '' : [ { `` mode '' : `` host '' } ] } { code } meso probabl check avoid replac system root mount point startup launch time .",MESOS-7374,3.0
"fail pull imag nexu registri due signatur miss . i ’ tri launch docker contain univers container , meso 1.2.0 . but get error “ fail pars imag manifest : docker v2 imag manifest valid fail : ‘ signatur ’ field size must least one ” . and i switch docker container , app start normal . we work privat docker registri v2 back nexu repositori manag 3.1.0 { code } cat /etc/mesos-slave/docker_registri http : //docker.company.ru cat /etc/mesos-slave/docker_config { '' auth '' : { '' docker.company.ru '' : { '' auth '' : `` ........ '' } } } { code } here agent 's log : { code } i0405 22:00:49.860234 44856 slave.cpp:4346 ] receiv ping slave-observ ( 7 ) @ 10.34.1.31:5050 i0405 22:00:50.327030 44865 slave.cpp:1625 ] got assign task 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.327785 44865 slave.cpp:1785 ] launch task 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.329324 44865 paths.cpp:547 ] tri chown '/export/intssd/mesos-slave/workdir/slaves/5ad97c04-d982-49d3-ac4f-53c468993190-s1/frameworks/5ad97c04-d982-49d3-ac4f-53c468993190-0000/executors/md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14/runs/f82f5f69-87a3-4586-b4cc-b91d285dcaff ' user 'dockdata' i0405 22:00:50.329607 44865 slave.cpp:6896 ] checkpoint executorinfo '/export/intssd/mesos-slave/workdir/meta/slaves/5ad97c04-d982-49d3-ac4f-53c468993190-s1/frameworks/5ad97c04-d982-49d3-ac4f-53c468993190-0000/executors/md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14/executor.info' i0405 22:00:50.330531 44865 slave.cpp:6472 ] launch executor 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 resourc cpu ( * ) ( alloc : general_marathon_service_rol ) :0.1 ; mem ( * ) ( alloc : general_marathon_service_rol ) :32 work directori '/export/intssd/mesos-slave/workdir/slaves/5ad97c04-d982-49d3-ac4f-53c468993190-s1/frameworks/5ad97c04-d982-49d3-ac4f-53c468993190-0000/executors/md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14/runs/f82f5f69-87a3-4586-b4cc-b91d285dcaff' i0405 22:00:50.331244 44865 slave.cpp:6919 ] checkpoint taskinfo '/export/intssd/mesos-slave/workdir/meta/slaves/5ad97c04-d982-49d3-ac4f-53c468993190-s1/frameworks/5ad97c04-d982-49d3-ac4f-53c468993190-0000/executors/md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14/runs/f82f5f69-87a3-4586-b4cc-b91d285dcaff/tasks/md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14/task.info' i0405 22:00:50.331568 44862 docker.cpp:1106 ] skip non-dock contain i0405 22:00:50.331822 44865 slave.cpp:2118 ] queu task 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' executor 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.331966 44865 slave.cpp:884 ] success attach file '/export/intssd/mesos-slave/workdir/slaves/5ad97c04-d982-49d3-ac4f-53c468993190-s1/frameworks/5ad97c04-d982-49d3-ac4f-53c468993190-0000/executors/md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14/runs/f82f5f69-87a3-4586-b4cc-b91d285dcaff' i0405 22:00:50.332582 44861 containerizer.cpp:993 ] start contain f82f5f69-87a3-4586-b4cc-b91d285dcaff executor 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.333286 44862 metadata_manager.cpp:168 ] look imag 'docker.company.ru/company-infra/kafka:0.10.2.0-16' i0405 22:00:50.333627 44879 registry_puller.cpp:247 ] pull imag 'docker.company.ru/company-infra/kafka:0.10.2.0-16 ' 'docker-manifest : //docker.company.rucompany-infra/kafka ? 0.10.2.0-16 # http ' '/export/intssd/mesos-slave/docker-store/staging/av2yko' e0405 22:00:50.834630 44872 slave.cpp:4642 ] contain 'f82f5f69-87a3-4586-b4cc-b91d285dcaff ' executor 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 fail start : fail pars imag manifest : docker v2 imag manifest valid fail : 'signatur ' field size must least one i0405 22:00:50.835008 44853 containerizer.cpp:2069 ] destroy contain f82f5f69-87a3-4586-b4cc-b91d285dcaff provis state i0405 22:00:50.835127 44853 containerizer.cpp:2124 ] wait provision complet provis destroy contain f82f5f69-87a3-4586-b4cc-b91d285dcaff i0405 22:00:50.835273 44844 provisioner.cpp:484 ] ignor destroy request unknown contain f82f5f69-87a3-4586-b4cc-b91d285dcaff i0405 22:00:50.836199 44837 slave.cpp:4754 ] executor 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 termin unknown statu i0405 22:00:50.837193 44837 slave.cpp:3816 ] handl statu updat task_fail ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 @ 0.0.0.0:0 e0405 22:00:50.837766 44846 slave.cpp:4097 ] fail updat resourc contain f82f5f69-87a3-4586-b4cc-b91d285dcaff executor 'md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 ' run task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 statu updat termin task , destroy contain : contain found w0405 22:00:50.837962 44865 composing.cpp:630 ] attempt destroy unknown contain f82f5f69-87a3-4586-b4cc-b91d285dcaff i0405 22:00:50.838018 44877 status_update_manager.cpp:323 ] receiv statu updat task_fail ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.838081 44877 status_update_manager.cpp:500 ] creat statusupd stream task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.838560 44877 status_update_manager.cpp:832 ] checkpoint updat statu updat task_fail ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.838708 44877 status_update_manager.cpp:377 ] forward updat task_fail ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 agent i0405 22:00:50.838860 44878 slave.cpp:4256 ] forward updat task_fail ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 master @ 10.34.1.31:5050 i0405 22:00:50.839059 44878 slave.cpp:4150 ] statu updat manag success handl statu updat task_fail ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.848595 44866 status_update_manager.cpp:395 ] receiv statu updat acknowledg ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.848696 44866 status_update_manager.cpp:832 ] checkpoint ack statu updat task_fail ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.848801 44866 status_update_manager.cpp:531 ] clean statu updat stream task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.849365 44850 slave.cpp:3105 ] statu updat manag success handl statu updat acknowledg ( uuid : efd419db-5350-48bf-b612-8e5b5685b9a0 ) task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 framework 5ad97c04-d982-49d3-ac4f-53c468993190-0000 i0405 22:00:50.849431 44850 slave.cpp:6875 ] complet task md_kafka_broker.2f58917d-1a32-11e7-ad66-02424dd04a14 { code }",MESOS-7350,2.0
updat resourc proto storag resourc provid . storag resourc provid support requir number chang { { resourc } } proto : * support { { raw } } { { block } } type { { resourc : :diskinfo : :sourc } } * { { resourceproviderid } } resourc * { { resourc : :diskinfo : :sourc : :path } } { { option } } .,MESOS-7312,3.0
"unifi container provis docker imag error copi backend error occur specif docker imag copi backend , 1.0.2 1.2.0 . it work well overlay backend 1.2.0 . { quot } i0321 09:36:07.308830 27613 paths.cpp:528 ] tri chown '/data/mesos/slaves/55f6df5e-2812-40a0-baf5-ce96f20677d3-s102/frameworks/20151223-150303-2677017098-5050-30032-0000/executors/ct : transcoding_test_114489497_1490060156172:3/runs/7e518538-7b56-4b14-a3c9-bee43c669bd7 ' user 'root' i0321 09:36:07.319628 27613 slave.cpp:5703 ] launch executor ct : transcoding_test_114489497_1490060156172:3 framework 20151223-150303-2677017098-5050-30032-0000 resourc cpu ( * ) :0.1 ; mem ( * ) :32 work directori '/data/mesos/slaves/55f6df5e-2812-40a0-baf5-ce96f20677d3-s102/frameworks/20151223-150303-2677017098-5050-30032-0000/executors/ct : transcoding_test_114489497_1490060156172:3/runs/7e518538-7b56-4b14-a3c9-bee43c669bd7' i0321 09:36:07.321436 27615 containerizer.cpp:781 ] start contain '7e518538-7b56-4b14-a3c9-bee43c669bd7 ' executor 'ct : transcoding_test_114489497_1490060156172:3 ' framework '20151223-150303-2677017098-5050-30032-0000' i0321 09:36:37.902195 27600 provisioner.cpp:294 ] provis imag rootf '/data/mesos/provisioner/containers/7e518538-7b56-4b14-a3c9-bee43c669bd7/backends/copy/rootfses/8d2f7fe8-71ff-4317-a33c-a436241a93d9 ' contain 7e518538-7b56-4b14-a3c9-bee43c669bd7 * e0321 09:36:58.707718 27606 slave.cpp:4000 ] contain '7e518538-7b56-4b14-a3c9-bee43c669bd7 ' executor 'ct : transcoding_test_114489497_1490060156172:3 ' framework 20151223-150303-2677017098-5050-30032-0000 fail start : collect fail : fail copi layer : cp : creat regular file ‘ /data/mesos/provisioner/containers/7e518538-7b56-4b14-a3c9-bee43c669bd7/backends/copy/rootfses/8d2f7fe8-71ff-4317-a33c-a436241a93d9/usr/bin/python ’ : text file busi * i0321 09:36:58.707991 27608 containerizer.cpp:1622 ] destroy contain '7e518538-7b56-4b14-a3c9-bee43c669bd7' i0321 09:36:58.708468 27607 provisioner.cpp:434 ] destroy contain rootf '/data/mesos/provisioner/containers/7e518538-7b56-4b14-a3c9-bee43c669bd7/backends/copy/rootfses/8d2f7fe8-71ff-4317-a33c-a436241a93d9 ' contain 7e518538-7b56-4b14-a3c9-bee43c669bd7 { quot } docker imag privat one , tri reproduc bug sampl dockerfil possibl .",MESOS-7280,2.0
"unifi container support docker registri version < 2.3. file ` src/uri/fetchers/docker.cpp ` `` ` option < string > contenttyp = response.headers.get ( `` content-typ '' ) ; ( contenttype.issom ( ) & & ! string : :startswith ( contenttype.get ( ) , `` application/vnd.docker.distribution.manifest.v1 '' ) ) { return failur ( `` unsupport manifest mime type : `` + contenttype.get ( ) ) ; } `` ` docker fetcher check contenttyp strictli , docker registri version < 2.3 return manifest contenttyp ` application/json ` , lead failur like ` e0321 13:27:27.572402 40370 slave.cpp:4650 ] contain 'xxx ' executor 'xxx ' framework xxx fail start : unsupport manifest mime type : application/json ; charset=utf-8 ` .",MESOS-7272,2.0
support pull imag alicloud privat registri . the imag puller via curl n't work i 'm specifi imag name : registry.cn-hangzhou.aliyuncs.com/kaiyu/pytorch-cuda75 400 bad request but docker pull success bq . docker pull registry.cn-hangzhou.aliyuncs.com/kaiyu/pytorch-cuda75,MESOS-7251,2.0
"task launch via default executor access disk resourc volum . current , task task group tri access volum specifi disk resourc ( e.g. , persist volum ) , n't access sinc mount root contain ( executor ) . thi happen due mechan specifi resourc child contain yet . henc , default resourc ( e.g. , disk ) ad root contain . a possibl solut set map manual default executor use { { sandbox_path } } volum sourc type give child contain access volum mount parent contain . thi best workaround ideal solut would tackl part mesos-7207 .",MESOS-7225,3.0
"http health check n't work meso run -- docker_mesos_imag when run mesos-slav option `` docker_mesos_imag '' like : { code } -- master=zk : //standalone:2181/meso -- containerizers=dock , meso -- executor_registration_timeout=5min -- hostname=standalon -- ip=0.0.0.0 -- docker_stop_timeout=5sec -- gc_delay=1day -- docker_socket=/var/run/docker.sock -- no-systemd_enable_support -- work_dir=/tmp/meso -- docker_mesos_image=panteras/paas-in-a-box:0.4.0 { code } contain start option `` pid : host '' like : { code } net : host privileg : true pid : host { code } exampl marathon job , use mesos_http check like : { code } { `` id '' : `` python-example-st '' , `` cmd '' : `` python3 -m http.server 8080 '' , `` mem '' : 16 , `` cpu '' : 0.1 , `` instanc '' : 2 , `` contain '' : { `` type '' : `` docker '' , `` docker '' : { `` imag '' : `` python : alpin '' , `` network '' : `` bridg '' , `` portmap '' : [ { `` containerport '' : 8080 , `` hostport '' : 0 , `` protocol '' : `` tcp '' } ] } } , `` env '' : { `` service_nam '' : `` python '' } , `` healthcheck '' : [ { `` path '' : `` / '' , `` portindex '' : 0 , `` protocol '' : `` mesos_http '' , `` graceperiodsecond '' : 30 , `` intervalsecond '' : 10 , `` timeoutsecond '' : 30 , `` maxconsecutivefailur '' : 3 } ] } { code } i see error like : { code } f0306 07:41:58.844293 35 health_checker.cpp:94 ] fail enter net namespac task ( pid : '13527 ' ) : pid 13527 exist * * * check failur stack trace : * * * @ 0x7f51770b0c1d googl : :logmessag : :fail ( ) @ 0x7f51770b29d0 googl : :logmessag : :sendtolog ( ) @ 0x7f51770b0803 googl : :logmessag : :flush ( ) @ 0x7f51770b33f9 googl : :logmessagefat : :~logmessagefat ( ) @ 0x7f517647ce46 _znst17_function_handlerifivezn5mesos8internal6health14clonewithsetnserkst8functionis0_e6optioniierkst6vectorinst7__cxx1112basic_stringicst11char_traitsicesaiceeesaisg_eeeulve_e9_m_invokeerkst9_any_data @ 0x7f517647bf2b meso : :intern : :health : :clonewithsetn ( ) @ 0x7f517648374b std : :_function_handl < > : :_m_invok ( ) @ 0x7f5177068167 process : :intern : :clonechild ( ) @ 0x7f5177065c32 process : :subprocess ( ) @ 0x7f5176481a9d meso : :intern : :health : :healthcheckerprocess : :_httphealthcheck ( ) @ 0x7f51764831f7 meso : :intern : :health : :healthcheckerprocess : :_healthcheck ( ) @ 0x7f517701f38c process : :processbas : :visit ( ) @ 0x7f517702c8b3 process : :processmanag : :resum ( ) @ 0x7f517702fb77 _znst6thread5_implist12_bind_simpleifzn7process14processmanager12init_threadseveut_veee6_m_runev @ 0x7f51754ddc80 ( unknown ) @ 0x7f5174cf06ba start_thread @ 0x7f5174a2682d ( unknown ) i0306 07:41:59.077986 9 health_checker.cpp:199 ] ignor failur health check still grace period { code } look like option docker_mesos_imag make , newli start meso job use `` pid host '' option mother contain start , pid namespac ( n't matter mother contain start `` pid host '' never abl find pid )",MESOS-7210,3.0
"persist volum ownership set root task run non-root user i ’ run docker contain univers container , meso 1.1.0. switch_user=tru , isolator=filesystem/linux , docker/runtim . contain launch marathon , “ user ” : ” someappus ” . i ’ want use persist volum , ’ expos contain root user permiss even root folder creat someppus ownership ( look like meso chown folder ) . log contain : { code } i0305 22:51:36.414655 10175 slave.cpp:1701 ] launch task 'md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a ' framework e9d0e39e-b67d-4142-b95d-b0987998eb92-0000 i0305 22:51:36.415118 10175 paths.cpp:536 ] tri chown '/export/intssd/mesos-slave/workdir/slaves/85150805-a201-4b23-ab21-b332a458fc97-s10/frameworks/e9d0e39e-b67d-4142-b95d-b0987998eb92-0000/executors/md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a/runs/e978d4eb-5ec1-44ad-b50a-9ae6bfe1065a ' user 'root' i0305 22:51:36.422992 10175 slave.cpp:6179 ] launch executor 'md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a ' framework e9d0e39e-b67d-4142-b95d-b0987998eb92-0000 resourc cpu ( * ) :0.1 ; mem ( * ) :32 work directori '/export/intssd/mesos-slave/workdir/slaves/85150805-a201-4b23-ab21-b332a458fc97-s10/frameworks/e9d0e39e-b67d-4142-b95d-b0987998eb92-0000/executors/md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a/runs/e978d4eb-5ec1-44ad-b50a-9ae6bfe1065a' i0305 22:51:36.424278 10175 slave.cpp:1987 ] queu task 'md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a ' executor 'md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a ' framework e9d0e39e-b67d-4142-b95d-b0987998eb92-0000 i0305 22:51:36.424347 10158 docker.cpp:1000 ] skip non-dock contain i0305 22:51:36.425639 10142 containerizer.cpp:938 ] start contain e978d4eb-5ec1-44ad-b50a-9ae6bfe1065a executor 'md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a ' framework e9d0e39e-b67d-4142-b95d-b0987998eb92-0000 i0305 22:51:36.428725 10166 provisioner.cpp:294 ] provis imag rootf '/export/intssd/mesos-slave/workdir/provisioner/containers/e978d4eb-5ec1-44ad-b50a-9ae6bfe1065a/backends/copy/rootfses/0e2181e9-1bf2-42d4-8cb0-ee70e466c3a ' contain e978d4eb-5ec1-44ad-b50a-9ae6bfe1065a i0305 22:51:42.981240 10149 linux.cpp:695 ] chang ownership persist volum '/export/intssd/mesos-slave/data/volumes/roles/general_marathon_service_role/md_hdfs_journ # data # 23f813aa-01dd-11e7-a012-0242ce94d92a ' uid 0 gid 0 i0305 22:51:42.986593 10136 linux_launcher.cpp:421 ] launch contain e978d4eb-5ec1-44ad-b50a-9ae6bfe1065a clone namespac clone_newn { code } { code } ls -la /export/intssd/mesos-slave/workdir/slaves/85150805-a201-4b23-ab21-b332a458fc97-s10/frameworks/e9d0e39e-b67d-4142-b95d-b0987998eb92-0000/executors/md_hdfs_journal.23f813ab-01dd-11e7-a012-0242ce94d92a/runs/e978d4eb-5ec1-44ad-b50a-9ae6bfe1065a/ drwxr-xr-x 3 someappus someappgroup 4096 22:51 . drwxr-xr-x 3 root root 4096 22:51 .. drwxr-xr-x 2 root root 4096 22:51 data -rw-r -- r -- 1 root root 169 22:51 stderr -rw-r -- r -- 1 root root 183012 23:00 stdout { code }",MESOS-7208,3.0
add document debug api oper api doc,MESOS-7188,1.0
"agent valid nest contain id exceed certain length . thi relat mesos-691 . sinc nest contain id gener executor , agent verifi length exceed certain length .",MESOS-7168,3.0
"the agent may flap machin reboot due provision recov . after agent machin reboot , agent work dir surviv ( e.g. , /var/lib/meso ) contain runtim directori gone ( empti slavest well ) , provision recov ( ) would get segfault case break semant child contain alway clean parent contain . thi particular case happen machin reboot provision directori surviv . { noformat } f0217 01:10:18.423238 30099 provisioner.cpp:504 ] check fail : entry.par ( ) ! = containerid fail destroy contain 1 sinc nest contain 1.2 destroy yet * * * check failur stack trace : * * * @ 0x7fceb444121d googl : :logmessag : :fail ( ) @ 0x7fceb44405e googl : :logmessag : :sendtolog ( ) @ 0x7fceb4440e googl : :logmessag : :flush ( ) @ 0x7fceb4444368 googl : :logmessagefat : :~logmessagefat ( ) @ 0x7fceb36137f9 meso : :intern : :slave : :provisionerprocess : :destroy ( ) @ 0x7fceb36126f0 meso : :intern : :slave : :provisionerprocess : :recov ( ) @ 0x7fceb3637fc6 _zzn7process8dispatchi7nothingn5mesos8internal5slave18provisionerprocesserk7hashsetins2_11containeridest4hashis7_est8equal_tois7_eesc_eens_6futureit_eerkns_3pidit0_eemsj_fsh_t1_et2_enkulpns_11processbaseee_cless_ @ 0x7fceb3637bc2 _znst17_function_handlerifvpn7process11processbaseeezns0_8dispatchi7nothingn5mesos8internal5slave18provisionerprocesserk7hashsetins6_11containeridest4hashisb_est8equal_toisb_eesg_eens0_6futureit_eerkns0_3pidit0_eemsn_fsl_t1_et2_euls2_e_e9_m_invokeerkst9_any_dataos2_ @ 0x7fceb43848e4 std : :function < > : :oper ( ) ( ) @ 0x7fceb436baf4 process : :processbas : :visit ( ) @ 0x7fceb43e5fd process : :dispatchev : :visit ( ) @ 0x9e4101 process : :processbas : :serv ( ) @ 0x7fceb4369007 process : :processmanag : :resum ( ) @ 0x7fceb4377a8c process : :processmanag : :init_thread ( ) : : $ _2 : :oper ( ) ( ) @ 0x7fceb4377995 _znst12_bind_simpleifzn7process14processmanager12init_threadseve3 $ _2vee9_m_invokeijeeevst12_index_tupleijxspt_ee @ 0x7fceb4377965 std : :_bind_simpl < > : :oper ( ) ( ) @ 0x7fceb437793c std : :thread : :_impl < > : :_m_run ( ) @ 0x7fceadefa030 ( unknown ) @ 0x7fcead70b6aa start_thread @ 0x7fcead440e9d ( unknown ) { noformat } the provision directori suppos contain runtim directori . howev , backward compat . we chang deprec cycl . for , three option : 1. make provision : :destroy ( ) recurs . 2. sort contain recoveri guarante ` child parent ` semant . 3. remov check-failur sinc provision dir remov eventu end ( recommend ) . recommend ( 1 ) .",MESOS-7152,5.0
"wrap ioswitchboard.connect ( ) dispatch sinc ioswitchboard implement mesosisolatorprocess , api call automat dispatch onto underli process isol wrapper . howev , ioswitchboard also includ addit connect ( ) call access isol wrapper . as , need wrap dispatch call manual .",MESOS-7144,1.0
"quota exceed due coarse-grain offer techniqu . the current implement quota alloc alloc entir avail resourc agent tri satisfi quota . what mean quota exceed size agent . thi especi problemat larg machin , consid 48 core , 512 gb memori server role given 4 core 4gb memori . given current approach , send offer entir 48 core 512 gb memori ! thi ticket perform fine grain offer alloc exceed quota .",MESOS-7099,5.0
